ticker,name,exchange,category name,country
CPTGF.BK,C.P. Tower Growth Leasehold Property Fund,SET,,Thailand
CRANE.BK,Chukai Public Company Limited,SET,,Thailand
CRANE-R.BK,Chukai Public Company Limited,SET,,Thailand
CSP-R.BK,CSP Steel Center Public Company Limited,SET,,Thailand
CSR.BK,City Sports and Recreation Public Company Limited,SET,,Thailand
CSP.BK,CSP Steel Center Public Company Limited,SET,,Thailand
CSL-R.BK,CS Loxinfo Public Company Limited,SET,,Thailand
CSR-R.BK,City Sports and Recreation Public Company Limited,SET,,Thailand
CSL.BK,CS Loxinfo Public Company Limited,SET,,Thailand
CSC-R.BK,Crown Seal Public Company Limited,SET,,Thailand
CSC.BK,Crown Seal Public Company Limited,SET,,Thailand
CTW-R.BK,Charoong Thai Wire and Cable Public Company Limited,SET,,Thailand
CTW.BK,Charoong Thai Wire and Cable Public Company Limited,SET,,Thailand
CWT-R.BK,Chai Watana Tannery Group Public Company Limited,SET,,Thailand
CWT.BK,Chai Watana Tannery Group Public Company Limited,SET,,Thailand
DAII-R.BK,Daii Group Public Company Limited,SET,,Thailand
DAII.BK,Daii Group Public Company Limited,SET,,Thailand
DCON.BK,DCON Products Public Company Limited,SET,,Thailand
DCC-R.BK,Dynasty Ceramic Public Company Limited,SET,,Thailand
DCC.BK,Dynasty Ceramic Public Company Limited,SET,,Thailand
DCORP-R.BK,Demeter Corporation Public Company Limited,SET,,Thailand
DCORP.BK,Demeter Corporation Public Company Limited,SET,,Thailand
DCON-R.BK,DCON Products Public Company Limited,SET,,Thailand
DELTA.BK,Delta Electronics (Thailand) Public Company Limited,SET,,Thailand
PHOL.BK,Phol Dhanya Public Company Limited,SET,,Thailand
SANKO.BK,Sanko Diecasting (Thailand) Public Company Limited,SET,,Thailand
DIMET.BK,Dimet (siam) Public Company Limited,SET,,Thailand
DIMET-R.BK,Dimet (siam) Public Company Limited,SET,,Thailand
TVD-R.BK,TV Direct Public Company Limited,SET,,Thailand
DIF.BK,Digital Telecommunications Infrastructure Fund,SET,,Thailand
SANKO-R.BK,Sanko Diecasting (Thailand) Public Company Limited,SET,,Thailand
TVD.BK,TV Direct Public Company Limited,SET,,Thailand
DNA-R.BK,DNA 2002 Public Company Limited,SET,,Thailand
DNA.BK,DNA 2002 Public Company Limited,SET,,Thailand
CHO-R.BK,Cho Thavee Public Company Limited,SET,,Thailand
CHO.BK,Cho Thavee Public Company Limited,SET,,Thailand
DRACO.BK,Draco PCB Public Company Limited,SET,,Thailand
DRT.BK,Diamond Building Products Public Company Limited,SET,,Thailand
DRT-R.BK,Diamond Building Products Public Company Limited,SET,,Thailand
DRACO-R.BK,Draco PCB Public Company Limited,SET,,Thailand
DSGT.BK,DSG International (Thailand) Public Company Limited,SET,,Thailand
DSGT-R.BK,DSG International (Thailand) Public Company Limited,SET,,Thailand
DTAC.BK,Total Access Communication Public Company Limited,SET,,Thailand
DTCI-R.BK,D.T.C. Industries Public Company Limited,SET,,Thailand
DTC.BK,Dusit Thani Public Company Limited,SET,,Thailand
DTAC-R.BK,Total Access Communication Public Company Limited,SET,,Thailand
DTCPF.BK,The Dusit Thani Freehold and Leasehold Property Fund,SET,,Thailand
DTC-R.BK,Dusit Thani Public Company Limited,SET,,Thailand
DTCI.BK,D.T.C. Industries Public Company Limited,SET,,Thailand
EASTW.BK,Eastern Water Resources Development and Management Public Company Limited,SET,,Thailand
EASON.BK,Eason Paint Public Company Limited,SET,,Thailand
EPG-R.BK,Eastern Polymer Group Public Company Limited,SET,,Thailand
ECF.BK,East Coast Furnitech Company Limited,SET,,Thailand
EPG.BK,Eastern Polymer Group Public Company Limited,SET,,Thailand
EARTH-R.BK,Energy Earth Public Company Limited,SET,,Thailand
EASON-R.BK,Eason Paint Public Company Limited,SET,,Thailand
EARTH.BK,Energy Earth Public Company Limited,SET,,Thailand
EASTW-R.BK,Eastern Water Resources Development and Management Public Company Limited,SET,,Thailand
ECF-R.BK,East Coast Furnitech Company Limited,SET,,Thailand
ECL-R.BK,Eastern Commercial Leasing Public Company Limited,SET,,Thailand
ECL.BK,Eastern Commercial Leasing Public Company Limited,SET,,Thailand
NINE-R.BK,Nation International Edutainment Public Company Limited,SET,,Thailand
NINE.BK,Nation International Edutainment Public Company Limited,SET,,Thailand
EE.BK,Eternal Energy Public Company Limited,SET,,Thailand
EE-R.BK,Eternal Energy Public Company Limited,SET,,Thailand
EGCO.BK,Electricity Generating Public Company Limited,SET,,Thailand
EGATIF.BK,Electricity Generating Authority Of Thailand- North Bangkok Power Plant Block 1 Infrastructure Fund,SET,,Thailand
EGCO-R.BK,Electricity Generating Public Company Limited,SET,,Thailand
EIC-R.BK,Electronics Industry Public Company Limited,SET,,Thailand
